,index,Unnamed: 0,dteday,instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weeks_mean
131,131,131,2011-01-06 11:00:00,126,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,0.0
132,132,132,2011-01-06 12:00:00,127,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,0.0
133,133,133,2011-01-06 13:00:00,128,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,0.0
134,134,134,2011-01-06 14:00:00,129,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,0.0
135,135,135,2011-01-06 15:00:00,130,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,0.0
136,136,136,2011-01-06 16:00:00,131,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,0.0
137,137,137,2011-01-06 17:00:00,132,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,0.0
138,138,138,2011-01-06 18:00:00,133,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,0.0
139,139,139,2011-01-06 19:00:00,134,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,0.0
140,140,140,2011-01-06 20:00:00,135,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,0.0
141,141,141,2011-01-06 21:00:00,136,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,0.0
142,142,142,2011-01-06 22:00:00,137,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,0.0
143,143,143,2011-01-06 23:00:00,138,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,0.0
144,144,144,2011-01-07 00:00:00,139,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,0.0
145,145,145,2011-01-07 01:00:00,140,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,0.0
146,146,146,2011-01-07 02:00:00,141,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,0.0
147,147,147,2011-01-07 03:00:00,141,1,0,1,3,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,0.0
148,148,148,2011-01-07 04:00:00,142,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,0.0
149,149,149,2011-01-07 05:00:00,143,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,0.0
150,150,150,2011-01-07 06:00:00,144,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,0.0
151,151,151,2011-01-07 07:00:00,145,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,0.0
152,152,152,2011-01-07 08:00:00,146,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,0.0
153,153,153,2011-01-07 09:00:00,147,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,0.0
154,154,154,2011-01-07 10:00:00,148,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,0.0
155,155,155,2011-01-07 11:00:00,149,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,0.0
156,156,156,2011-01-07 12:00:00,150,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,0.0
157,157,157,2011-01-07 13:00:00,151,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,0.0
158,158,158,2011-01-07 14:00:00,152,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,0.0
159,159,159,2011-01-07 15:00:00,153,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,0.0
160,160,160,2011-01-07 16:00:00,154,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,0.0
161,161,161,2011-01-07 17:00:00,155,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,0.0
162,162,162,2011-01-07 18:00:00,156,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,0.0
163,163,163,2011-01-07 19:00:00,157,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,0.0
164,164,164,2011-01-07 20:00:00,158,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,0.0
165,165,165,2011-01-07 21:00:00,159,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,0.0
166,166,166,2011-01-07 22:00:00,160,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,0.0
167,167,167,2011-01-07 23:00:00,161,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,0.0
168,168,168,2011-01-08 00:00:00,162,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,16.0
169,169,169,2011-01-08 01:00:00,163,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,40.0
170,170,170,2011-01-08 02:00:00,164,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,32.0
171,171,171,2011-01-08 03:00:00,165,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,13.0
172,172,172,2011-01-08 04:00:00,166,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,1.0
173,173,173,2011-01-08 05:00:00,167,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,1.0
174,174,174,2011-01-08 06:00:00,168,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,2.0
175,175,175,2011-01-08 07:00:00,169,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,3.0
176,176,176,2011-01-08 08:00:00,170,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,8.0
177,177,177,2011-01-08 09:00:00,171,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,14.0
178,178,178,2011-01-08 10:00:00,172,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,36.0
179,179,179,2011-01-08 11:00:00,173,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,56.0
180,180,180,2011-01-08 12:00:00,174,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,84.0
181,181,181,2011-01-08 13:00:00,175,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,94.0
182,182,182,2011-01-08 14:00:00,176,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,106.0
183,183,183,2011-01-08 15:00:00,177,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,110.0
184,184,184,2011-01-08 16:00:00,178,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,93.0
185,185,185,2011-01-08 17:00:00,179,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,67.0
186,186,186,2011-01-08 18:00:00,180,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,35.0
187,187,187,2011-01-08 19:00:00,181,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,37.0
188,188,188,2011-01-08 20:00:00,182,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,36.0
189,189,189,2011-01-08 21:00:00,183,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,34.0
190,190,190,2011-01-08 22:00:00,184,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,28.0
191,191,191,2011-01-08 23:00:00,185,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,39.0
192,192,192,2011-01-09 00:00:00,186,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,17.0
193,193,193,2011-01-09 01:00:00,187,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,17.0
194,194,194,2011-01-09 02:00:00,188,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,9.0
195,195,195,2011-01-09 03:00:00,189,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,6.0
196,196,196,2011-01-09 04:00:00,190,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,3.0
197,197,197,2011-01-09 05:00:00,191,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,3.0
198,198,198,2011-01-09 06:00:00,192,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,2.0
199,199,199,2011-01-09 07:00:00,193,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,1.0
200,200,200,2011-01-09 08:00:00,194,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,8.0
201,201,201,2011-01-09 09:00:00,195,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,20.0
202,202,202,2011-01-09 10:00:00,196,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,53.0
203,203,203,2011-01-09 11:00:00,197,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,70.0
204,204,204,2011-01-09 12:00:00,198,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,93.0
205,205,205,2011-01-09 13:00:00,199,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,75.0
206,206,206,2011-01-09 14:00:00,200,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,59.0
207,207,207,2011-01-09 15:00:00,201,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,74.0
208,208,208,2011-01-09 16:00:00,202,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,76.0
209,209,209,2011-01-09 17:00:00,203,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,65.0
210,210,210,2011-01-09 18:00:00,204,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,53.0
211,211,211,2011-01-09 19:00:00,205,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,30.0
212,212,212,2011-01-09 20:00:00,206,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,22.0
213,213,213,2011-01-09 21:00:00,207,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,31.0
